"daily_time_spent_on_site","age","area_income","daily_internet_usage","ad_topic_line","city","male","country","timestamp","clicked_on_ad"
41.49,52,32640,164.8,Mandatory disintermediate utilization,South John,0,Burundi,2016-05-20 08:49:33,1
87.29,36,61630,209.9,Future-proofed methodical protocol,Pamelamouth,1,Korea,2016-03-23 09:43:43,0
41.39,41,68960,167.2,Exclusive neutral parallelism,Harperborough,0,Tokelau,2016-06-13 17:27:09,1
78.74,28,64830,204.8,Public-key foreground groupware,Port Danielleberg,1,Monaco,2016-05-27 15:25:52,0
48.53,28,38070,134.1,Ameliorated client-driven forecast,West Jeremyside,1,Tuvalu,2016-02-08 10:46:14,1
51.95,52,58300,129.2,Monitored systematic hierarchy,South Cathyfurt,0,Greece,2016-07-19 08:32:10,1
70.2,34,32710,119.2,Open-architected impactful productivity,Palmerside,0,British Virgin Islands,2016-04-14 05:08:35,1
76.02,22,46180,209.8,Business-focused value-added definition,West Guybury,0,Bouvet Island (Bouvetoya),2016-01-27 12:38:16,0
67.64,35,51470,267,Programmable asymmetric data-warehouse,Phelpschester,1,Peru,2016-07-02 20:23:15,0
86.41,28,45590,207.5,Digitized static capability,Lake Melindamouth,1,Aruba,2016-03-01 22:13:37,0
59.05,57,25580,169.2,Digitized global capability,North Richardburgh,1,Maldives,2016-07-15 05:05:14,1
55.6,23,30230,212.6,Multi-layered 4thgeneration knowledge user,Port Cassie,0,Senegal,2016-01-14 14:00:09,1
57.64,57,45580,133.8,Synchronized dedicated service-desk,New Thomas,1,Dominica,2016-03-15 03:12:25,1
84.37,30,61390,201.6,Synchronized systemic hierarchy,Johnstad,0,Luxembourg,2016-04-12 03:26:39,0
62.26,53,56770,125.5,Profound stable product,West Aprilport,1,Montenegro,2016-04-07 15:18:10,1
65.82,39,76440,221.9,Reactive demand-driven capacity,Kellytown,0,Ukraine,2016-02-09 05:28:18,0
50.43,46,57430,119.3,Persevering needs-based open architecture,Charlesport,1,Saint Helena,2016-05-07 17:11:49,1
38.93,39,27510,162.1,Intuitive exuding service-desk,Millerchester,0,Liberia,2016-03-11 06:49:10,1
84.98,29,57690,202.6,Innovative user-facing extranet,Mackenziemouth,0,Russian Federation,2016-04-27 09:27:58,0
64.24,30,59780,252.4,Front-line intermediate database,Zacharystad,0,Tunisia,2016-04-16 11:53:43,0
82.52,32,66570,198.1,Persevering exuding system engine,North Joshua,1,Turkmenistan,2016-05-08 15:38:46,0
81.38,31,64930,212.3,Balanced dynamic application,Bowenview,0,Saint Helena,2016-02-08 00:23:38,0
80.47,25,57520,204.9,Reduced global support,Jamesberg,0,Niger,2016-02-11 13:26:22,0
37.68,52,53580,172.8,Organic leadingedge secured line,Lake Cassandraport,1,Turkmenistan,2016-02-17 13:16:33,1
69.62,20,50980,202.3,Business-focused encompassing neural-net,New Sharon,1,Qatar,2016-02-26 22:46:43,0
85.4,43,67060,198.7,Triple-buffered demand-driven alliance,Johnport,0,Sri Lanka,2016-06-08 18:54:01,0
44.33,37,52720,123.7,Visionary maximized process improvement,Hamiltonfort,1,Trinidad and Tobago,2016-01-08 09:32:26,1
48.01,46,54290,119.9,Centralized 24/7 installation,West Christopher,0,Italy,2016-04-25 11:01:54,1
73.18,23,61530,196.7,Organized static focus group,Hollandberg,1,British Virgin Islands,2016-04-04 07:07:46,0
79.94,28,58530,225.3,Visionary reciprocal circuit,Odomville,0,United Kingdom,2016-05-03 21:19:58,0
33.33,45,53350,193.6,Pre-emptive value-added workforce,East Samanthashire,1,Guinea-Bissau,2016-01-17 09:31:36,1
50.33,50,62660,133.2,Sharable analyzing alliance,South Lauraton,1,Micronesia,2016-03-02 04:57:51,1
62.31,47,62720,119.3,Team-oriented encompassing portal,Amandahaven,0,Turkey,2016-02-14 07:36:58,1
80.6,31,67480,177.6,Sharable bottom-line solution,Thomasview,0,Croatia,2016-04-07 03:56:16,0
65.19,36,75250,150.6,Cross-group regional website,Garciaside,0,Israel,2016-02-17 11:42:00,1
44.98,49,52340,129.3,Organized global model,Port Sarahshire,0,Svalbard & Jan Mayen Islands,2016-04-10 00:13:47,1
77.63,29,56110,239.2,Upgradable asynchronous circuit,Port Gregory,0,Azerbaijan,2016-02-14 17:05:15,0
41.82,41,24850,156.4,Phased transitional instruction set,Brendachester,0,Iran,2016-05-26 22:49:47,1
85.61,27,47710,183.4,Customer-focused empowering ability,Lake Amy,0,Burundi,2016-04-30 08:07:13,0
85.84,34,64650,192.9,Front-line heuristic data-warehouse,Lake Annashire,1,Saint Vincent and the Grenadines,2016-06-15 05:30:13,0
72.08,29,71230,169.5,Stand-alone national attitude,Smithburgh,0,Burundi,2016-03-09 14:45:33,0
86.06,32,61600,178.9,Focused upward-trending core,North Leonmouth,1,Bulgaria,2016-03-31 20:55:22,0
45.96,45,66280,141.2,Streamlined cohesive conglomeration,Robertfurt,0,Christmas Island,2016-06-03 00:55:23,1
62.42,29,73910,198.5,Upgradable optimizing toolset,Jasminefort,1,Canada,2016-03-10 23:36:03,0
63.89,40,51320,105.2,Synchronized user-facing core,Jensenborough,0,Rwanda,2016-01-08 00:17:27,1
35.33,32,51510,200.2,Organized client-driven alliance,Bradleyburgh,0,Turks and Caicos Islands,2016-06-05 22:11:34,1
75.74,25,61010,215.3,Ergonomic multi-state structure,New Sheila,1,Tunisia,2016-01-16 11:35:01,0
78.53,34,32540,131.7,Synergized multimedia emulation,North Regina,0,Norfolk Island,2016-04-22 20:10:22,1
46.13,31,60250,139,Customer-focused optimizing moderator,Davidmouth,0,Bouvet Island (Bouvetoya),2016-02-01 09:00:55,1
69.01,46,74540,222.6,Advanced full-range migration,New Michaeltown,0,Turks and Caicos Islands,2016-07-07 13:37:34,0
55.35,39,75510,153.2,De-engineered object-oriented protocol,East Tammie,1,Cook Islands,2016-03-08 00:37:54,1
33.21,43,42650,167.1,Polarized clear-thinking budgetary management,Wilcoxport,1,Turkey,2016-05-10 17:39:06,1
38.46,42,58180,146,Customizable 6thgeneration knowledge user,East Michaelmouth,1,Guatemala,2016-04-06 11:24:21,1
64.1,22,60470,215.9,Seamless object-oriented structure,East Tiffanyport,0,Cote d'Ivoire,2016-04-01 16:21:05,0
49.81,35,57010,120.1,Seamless real-time array,Ramirezhaven,1,Faroe Islands,2016-01-05 04:18:46,1
82.73,33,54540,239,Grass-roots impactful system engine,Cranemouth,1,Qatar,2016-05-20 21:31:24,0
56.14,38,32690,113.5,Devolved tangible approach,Lake Edward,1,Ireland,2016-02-03 07:59:16,1
55.13,45,55610,111.7,Customizable executive software,Lake Conniefurt,0,Ukraine,2016-02-17 21:55:29,1
78.11,27,63300,209.3,Progressive analyzing attitude,East Shawnchester,1,Moldova,2016-01-30 16:10:04,0
73.46,28,65650,222.8,Innovative executive encoding,West Joseph,1,Nicaragua,2016-05-15 14:41:49,0
56.64,38,61650,115.9,Down-sized uniform info-mediaries,Lake Christopherfurt,0,Montserrat,2016-01-05 17:56:52,1
68.94,54,30730,138.7,Streamlined next generation implementation,East Tylershire,0,Timor-Leste,2016-04-19 07:34:28,1
70.79,31,74540,184.1,Distributed tertiary system engine,Sharpberg,0,Bouvet Island (Bouvetoya),2016-03-15 15:49:14,0
57.76,41,47860,105.2,Triple-buffered scalable groupware,Lake Dustin,0,Puerto Rico,2016-06-12 15:25:44,1
77.51,36,73600,200.6,Total 5thgeneration encoding,North Kristine,0,Central African Republic,2016-07-01 04:41:57,0
52.7,34,58540,118.6,Integrated human-resource encoding,Grahamberg,1,Venezuela,2016-05-08 12:12:04,1
57.7,34,42700,109.1,Phased dynamic customer loyalty,New Tina,0,Australia,2016-03-14 23:13:11,1
56.89,37,37330,109.3,Open-source coherent policy,Nelsonfurt,1,Wallis and Futuna,2016-05-25 00:19:57,1
69.9,43,71390,138.3,Down-sized modular intranet,Christopherport,0,Jersey,2016-05-13 11:51:10,1
55.79,24,59550,149.7,Pre-emptive content-based focus group,Port Sarahhaven,0,Puerto Rico,2016-02-20 20:47:05,1
70.03,26,64260,227.7,Versatile 4thgeneration system engine,Bradleyborough,1,Samoa,2016-05-22 20:49:37,0
50.08,40,64150,125.8,Ergonomic full-range time-frame,Whiteport,1,Greece,2016-04-10 02:02:36,1
43.67,31,25690,166.3,Automated directional function,New Theresa,1,Antarctica (the territory South of 60 deg S),2016-02-28 06:41:44,1
72.84,26,52970,238.6,Progressive empowering alliance,Wongland,0,Albania,2016-07-08 21:18:32,0
45.72,36,22470,154,Versatile homogeneous capacity,Williammouth,1,Hong Kong,2016-04-19 15:14:58,1
39.94,41,64930,156.3,Function-based optimizing protocol,Williamsborough,0,Lithuania,2016-01-08 22:47:10,1
35.61,46,51870,158.2,Up-sized secondary software,North Michael,0,Egypt,2016-03-28 08:46:26,1
79.71,34,69460,211.7,Seamless holistic time-frame,Benjaminchester,1,Bangladesh,2016-07-02 14:57:53,0
41.49,53,31950,169.2,Persevering reciprocal firmware,Hernandezville,0,Western Sahara,2016-07-03 09:22:30,1
63.6,23,51860,235.3,Centralized logistical secured line,Youngburgh,1,Serbia,2016-06-01 09:27:34,0
89.91,40,59590,194.2,Innovative background conglomeration,Wallacechester,0,Maldives,2016-07-09 14:55:36,0
68.18,21,48380,218.2,Switchable 3rdgeneration hub,Sanchezmouth,1,Czech Republic,2016-02-09 22:04:54,0
66.49,20,56880,202.2,Polarized 6thgeneration info-mediaries,Bradshawborough,0,Guernsey,2016-06-10 11:31:33,0
80.49,40,67190,229.1,Balanced heuristic approach,Amyhaven,1,Tanzania,2016-02-14 03:50:52,0
72.23,25,46560,241,Focused 24hour implementation,Marcushaven,1,Bhutan,2016-07-05 17:17:49,0
42.39,42,66540,151,De-engineered mobile infrastructure,Erinton,0,Christmas Island,2016-04-28 05:50:25,1
47.53,30,33260,135.2,Customer-focused upward-trending contingency,Hughesport,0,Guinea,2016-04-03 05:10:31,1
74.02,32,72270,210.5,Operative system-worthy protocol,Johnstad,0,Micronesia,2016-03-09 14:57:11,0
66.63,60,60330,177,User-friendly upward-trending intranet,New Lucasburgh,0,Madagascar,2016-01-16 23:37:51,1
63.24,53,65230,235.8,Future-proofed holistic superstructure,Michelleside,1,Lebanon,2016-07-03 04:33:41,1
71,22,56070,211.9,Extended systemic policy,Andersonton,0,Eritrea,2016-03-14 06:46:14,0
46.13,46,37840,123.6,Horizontal hybrid challenge,New Rachel,1,Guyana,2016-01-09 05:44:56,1
69,32,72680,221.2,Virtual composite model,Port Susan,1,Trinidad and Tobago,2016-02-11 04:37:34,0
76.99,31,56730,244.3,Switchable mobile framework,West Angelabury,1,Jersey,2016-06-22 07:33:21,0
72.6,55,66820,162.9,Focused intangible moderator,Port Christopherborough,0,United Arab Emirates,2016-07-13 16:12:24,1
61.88,42,60220,112.2,Balanced actuating moderator,Phillipsbury,1,Martinique,2016-07-23 11:46:28,1
84.45,50,29730,207.2,Customer-focused transitional strategy,Millerside,0,Somalia,2016-07-13 04:10:53,1
88.97,45,49270,152.5,Advanced web-enabled standardization,Lake Jessica,0,Bhutan,2016-06-11 18:32:12,1
86.19,31,57670,210.3,Pre-emptive executive knowledgebase,Lopezmouth,1,Greece,2016-05-08 12:51:00,0
49.58,26,56790,231.9,Self-enabling holistic process improvement,Johnsport,0,Benin,2016-04-07 16:02:02,0
77.65,27,63270,212.8,Horizontal client-driven hierarchy,South Ronald,0,Papua New Guinea,2016-02-04 13:30:32,0
37.75,36,35470,225.2,Polarized dynamic throughput,South Daniel,0,Uzbekistan,2016-02-26 19:48:23,1
62.33,43,68790,127.1,Devolved zero administration intranet,Suzannetown,0,South Africa,2016-06-21 13:15:21,1
79.57,31,61230,230.9,User-friendly asymmetric info-mediaries,Lisaberg,0,Egypt,2016-05-17 04:27:31,0
80.31,44,56370,127.1,Cross-platform regional task-force,Brianfurt,0,Hungary,2016-04-18 15:54:33,1
89.05,45,57870,207,Polarized bandwidth-monitored moratorium,Stewartbury,0,Falkland Islands (Malvinas),2016-04-03 10:07:56,0
70.41,27,66620,223,Centralized systematic knowledgebase,Benjaminchester,0,Dominica,2016-04-04 21:30:46,0
67.36,37,73100,233.6,Future-proofed grid-enabled implementation,North Wesleychester,0,Jersey,2016-07-06 16:00:33,0
46.98,50,21640,175.4,Down-sized well-modulated archive,East Michelleberg,0,Lithuania,2016-05-04 09:00:24,1
41.67,36,53820,132.6,Realigned zero tolerance emulation,Port Eric,0,Saint Martin,2016-06-13 18:50:00,1
51.24,36,76370,176.7,Versatile transitional monitoring,Timothyfurt,0,Cuba,2016-01-03 16:01:40,1
75.7,29,67630,215.4,Profound zero administration instruction set,Port Jeffrey,0,United States Minor Outlying Islands,2016-01-14 00:23:10,0
43.49,47,50340,127.8,User-centric intangible task-force,Guzmanland,0,Belize,2016-01-12 10:07:29,1
49.89,39,17710,160,Enhanced system-worthy application,East Michele,1,Belize,2016-04-16 12:09:25,1
38.37,36,41230,140.5,Multi-layered user-facing paradigm,East John,0,Antarctica (the territory South of 60 deg S),2016-05-13 06:09:28,1
38.52,38,42580,137.3,Customer-focused 24/7 concept,Lesliebury,1,Saint Vincent and the Grenadines,2016-03-27 23:59:06,1
71.89,23,61620,172.8,Function-based transitional complexity,Patriciahaven,1,Kuwait,2016-02-03 23:47:56,0
75.8,38,70580,146.2,Progressive clear-thinking open architecture,Ashleychester,1,Thailand,2016-04-18 11:23:05,0
83.86,31,64120,190.3,Up-sized executive moderator,Lake Josetown,0,Gibraltar,2016-02-05 19:06:01,0
37.51,30,52100,163,Re-contextualized optimal service-desk,Debraburgh,1,Holy See (Vatican City State),2016-03-21 18:46:41,1
55.6,44,65950,124.4,Fully-configurable neutral open system,New Debbiestad,1,Korea,2016-06-14 11:59:58,1
83.67,44,60190,234.3,Upgradable system-worthy array,West Shaun,1,Saint Helena,2016-02-06 23:08:57,0
69.08,41,77460,210.6,Ergonomic client-driven application,Kimberlyhaven,0,Turks and Caicos Islands,2016-03-12 01:39:19,0
37.47,44,45720,141.9,Realigned content-based leverage,Port Lawrence,1,Czech Republic,2016-01-26 03:56:18,1
56.04,49,65120,128.9,Decentralized real-time circuit,West Ricardo,1,Netherlands,2016-02-07 08:02:31,1
70.92,41,50000,108.2,Polarized modular function,Lake Jose,1,Belarus,2016-05-05 07:58:22,1
49.78,46,71720,152.2,Enterprise-wide client-driven contingency,Heatherberg,0,Dominica,2016-06-29 02:43:29,1
68.61,57,61770,150.3,Diverse modular interface,South George,0,South Africa,2016-04-10 19:48:01,1
58.18,25,69110,176.3,Polarized analyzing concept,Tinachester,1,New Zealand,2016-02-10 06:37:56,0
78.54,35,72520,172.1,Multi-channeled asynchronous open system,Port Jodi,0,Togo,2016-05-28 20:41:50,0
37,48,36780,158.2,Function-based context-sensitive secured line,Jonathantown,1,Kenya,2016-03-24 06:36:52,1
65.4,33,66700,247.3,Adaptive 24hour Graphic Interface,Sylviaview,0,Palau,2016-02-12 22:51:08,0
79.52,27,64290,183.5,Automated coherent flexibility,East Timothyport,1,Timor-Leste,2016-06-10 10:11:00,0
87.98,38,56640,222.1,Focused scalable complexity,West Roytown,1,Cambodia,2016-03-31 10:44:46,0
44.64,36,55790,127,Up-sized incremental encryption,Codyburgh,0,Belize,2016-02-14 06:51:43,1
41.73,28,61140,202.2,Sharable dedicated Graphic Interface,Port Erikhaven,1,Cuba,2016-01-07 19:16:05,1
80.46,27,61630,208,Digitized zero administration paradigm,Port Chasemouth,1,Costa Rica,2016-02-04 02:13:52,0
75.55,36,73230,159.2,Managed grid-enabled standardization,Ramirezside,0,Liechtenstein,2016-05-09 02:58:58,1
76.32,35,74170,195.3,Networked foreground definition,East Michaeltown,1,Korea,2016-06-23 00:16:02,0
82.68,33,62670,222.8,Re-engineered exuding frame,West Courtney,1,Ukraine,2016-06-20 09:35:02,0
72.01,31,57760,251,Horizontal multi-state interface,West Michaelhaven,0,Angola,2016-02-29 12:31:57,0
75.83,24,58020,162.4,Diverse stable circuit,Walshhaven,0,Nauru,2016-01-17 15:10:31,0
41.28,50,50960,140.4,Universal 24/7 implementation,East Rachelview,0,Equatorial Guinea,2016-01-29 03:54:19,1
34.66,32,48250,194.8,Customer-focused multi-tasking Internet solution,Curtisport,0,Mongolia,2016-07-14 12:07:10,1
66.18,55,28270,143.4,Vision-oriented contextually-based extranet,Frankbury,0,Svalbard & Jan Mayen Islands,2016-01-10 23:14:30,1
86.06,31,53770,219.7,Extended local methodology,Timothytown,1,Timor-Leste,2016-04-28 18:34:56,0
59.59,42,43660,104.8,Re-engineered demand-driven capacity,Samanthaland,1,Brazil,2016-07-06 18:36:01,1
86.69,34,62240,198.6,Customer-focused attitude-oriented instruction set,South Jennifer,0,Chad,2016-05-27 06:19:27,0
43.77,52,49030,138.6,Synergized hybrid time-frame,Kyleborough,1,Portugal,2016-01-25 07:39:41,1
71.84,47,76000,199.8,Advanced exuding conglomeration,North Randy,1,Malawi,2016-05-08 22:47:18,0
80.23,31,68090,196.2,Secured clear-thinking middleware,South Daniellefort,0,Qatar,2016-03-19 14:23:45,0
74.41,26,64400,163.1,Right-sized value-added initiative,Dianashire,0,Singapore,2016-07-23 04:37:05,0
63.36,48,70050,137.4,Centralized tertiary pricing structure,East Eric,0,Guinea,2016-06-23 01:22:43,1
71.74,35,72420,227.6,Multi-channeled reciprocal artificial intelligence,Hammondport,0,Kazakhstan,2016-07-19 18:06:22,0
60.72,44,43000,105.7,Synergized context-sensitive database,Jacobstad,0,Kuwait,2016-02-28 18:52:44,1
72.04,22,60310,199.4,Realigned systematic function,Hernandezfort,0,Rwanda,2016-02-10 06:52:07,0
44.57,31,38350,133.2,Adaptive context-sensitive application,Joneston,1,China,2016-03-27 09:11:10,1
85.86,34,63120,208.2,Networked high-level structure,New Jeffreychester,0,Bouvet Island (Bouvetoya),2016-05-23 02:15:04,0
39.85,38,31340,146,Profit-focused dedicated utilization,East Stephen,0,Vietnam,2016-01-03 03:22:15,1
84.53,27,40760,168.3,Stand-alone tangible moderator,Turnerchester,0,Guatemala,2016-01-04 21:48:38,1
62.95,60,36750,157,Polarized tangible collaboration,Youngfort,0,Peru,2016-05-24 13:30:38,1
67.58,41,65040,255.6,Focused high-level conglomeration,Ingramberg,1,Mayotte,2016-02-01 19:42:40,0
85.56,29,53670,210.5,Advanced modular Local Area Network,South Denisefurt,0,Samoa,2016-06-05 13:16:24,0
46.88,54,43440,136.6,Virtual scalable secured line,Port Melissaberg,0,Singapore,2016-02-04 08:53:37,1
46.31,57,44250,154,Front-line fault-tolerant intranet,Bernardton,1,Jamaica,2016-03-24 13:37:53,1
77.95,31,62570,233.7,Inverse asymmetric instruction set,Port Mathew,1,Bahamas,2016-06-02 21:02:22,0
84.73,30,39840,153.8,Synchronized leadingedge help-desk,Aliciatown,0,Canada,2016-02-21 07:42:48,1
39.86,36,32590,145.8,Total 5thgeneration standardization,Josephstad,0,Algeria,2016-06-26 17:16:26,1
50.08,30,41630,123.9,Sharable grid-enabled matrix,West Ericfurt,0,Fiji,2016-01-03 05:34:33,1
60.23,35,43310,106.9,Balanced asynchronous hierarchy,New Brendafurt,0,Kenya,2016-03-08 18:00:43,1
60.7,49,42990,110.6,Monitored object-oriented Graphic Interface,Port Julie,1,Argentina,2016-06-19 03:19:44,1
43.67,53,46000,143.8,Cloned analyzing artificial intelligence,South Tiffanyton,1,Bouvet Island (Bouvetoya),2016-07-21 21:16:35,1
77.2,33,49330,254.1,Persistent homogeneous framework,North Elizabeth,1,Philippines,2016-02-12 20:36:40,0
71.86,32,51630,116.5,Face-to-face even-keeled website,Kentmouth,0,Senegal,2016-05-17 06:14:20,1
44.78,45,63360,137.2,Extended context-sensitive monitoring,West Casey,1,Suriname,2016-07-09 11:04:54,1
78.57,36,64050,239.3,Exclusive client-driven model,East Henry,1,Liberia,2016-03-27 02:35:29,0
73.41,31,73050,201.3,Profound executive flexibility,Hollyfurt,1,Guam,2016-01-16 08:01:40,0
77.05,27,66620,191.1,Reduced bi-directional strategy,North Anna,0,United Arab Emirates,2016-01-21 23:48:29,0
66.4,40,77570,214.4,Digitized heuristic solution,Port Destiny,0,Antigua and Barbuda,2016-06-05 00:29:13,0
69.35,29,53430,252.8,Seamless 4thgeneration contingency,Ianmouth,1,Argentina,2016-02-13 15:37:36,0
35.65,40,31270,172.6,Seamless intangible secured line,North Johntown,1,Georgia,2016-05-10 07:22:37,1
70.04,31,74780,183.8,Intuitive radical forecast,Hannahside,1,Jordan,2016-03-27 03:59:26,0
69.78,29,70410,218.8,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,0,Saudi Arabia,2016-05-24 18:35:58,0
58.22,29,37350,120.9,User-friendly client-server instruction set,North Russellborough,0,South Africa,2016-02-11 02:40:02,1
76.9,28,66110,212.7,Synchronized multimedia model,Murphymouth,0,Croatia,2016-04-22 08:31:24,0
84.08,30,62340,187.4,Face-to-face intermediate approach,Carterburgh,1,Fiji,2016-01-13 02:58:27,0
59.51,58,39130,140.8,Assimilated fault-tolerant hub,Penatown,0,Australia,2016-06-16 02:01:24,1
40.15,38,38750,134.9,Exclusive disintermediate task-force,Joechester,1,Sao Tome and Principe,2016-06-27 18:37:04,1
76.81,28,65170,217.8,Managed zero tolerance concept,East Paul,1,Fiji,2016-07-03 12:57:03,0
41.89,38,68520,163.4,Compatible systemic function,Hartmanchester,0,Cyprus,2016-02-03 04:21:14,1
76.87,27,54770,235.3,Configurable fault-tolerant monitoring,Mcdonaldfort,1,Kyrgyz Republic,2016-05-29 21:17:10,0
67.28,43,76250,155.8,Future-proofed coherent hardware,North Mercedes,1,Pakistan,2016-04-03 21:13:46,1
81.98,40,65460,229.2,Ameliorated upward-trending definition,Taylorberg,0,Seychelles,2016-04-15 11:51:14,0
66.01,23,34130,151.9,Front-line tangible alliance,Hansenmouth,0,Samoa,2016-06-21 03:14:41,1
61.57,53,35250,125.9,Progressive 24hour forecast,Bradyfurt,1,Bulgaria,2016-03-14 14:13:05,1
53.3,34,44890,111.9,Self-enabling optimal initiative,West Jessicahaven,0,Mauritania,2016-05-06 21:07:31,1
34.87,40,59620,200.2,Configurable logistical Graphical User Interface,Davilachester,0,Czech Republic,2016-06-12 17:52:43,1
43.6,38,20860,170.5,Virtual bandwidth-monitored initiative,North Ricardotown,0,Chile,2016-01-11 07:36:22,1
77.88,37,55350,254.6,Multi-tiered human-resource structure,Melissafurt,0,Poland,2016-07-02 00:24:22,0
75.83,27,67520,200.6,Managed upward-trending instruction set,East Brianberg,0,Estonia,2016-03-04 10:13:48,0
49.95,39,68740,136.6,Cloned object-oriented benchmark,Millerbury,0,Turkmenistan,2016-03-24 09:12:52,1
60.94,41,76890,155,Fundamental fault-tolerant neural-net,Garciaview,0,Latvia,2016-02-14 07:30:24,1
89.15,42,59890,171.1,Phased zero administration success,Townsendfurt,0,Fiji,2016-04-25 07:30:21,0
78.7,30,53440,134,Compatible intangible customer loyalty,Williamstad,0,Turkey,2016-02-10 19:20:51,1
57.35,29,41360,119.8,Distributed 3rdgeneration definition,West Connor,0,Kazakhstan,2016-04-23 14:34:38,1
34.86,38,49940,154.8,Pre-emptive cohesive budgetary management,West Justin,0,Bahrain,2016-06-18 17:56:32,1
70.68,31,74430,199.1,Configurable multi-state utilization,Robertbury,0,Colombia,2016-07-17 01:58:53,0
76.06,23,58630,201,Diverse multi-tasking parallelism,New Tinamouth,0,Brunei Darussalam,2016-04-27 04:28:17,0
66.67,33,72710,228,Horizontal content-based synergy,Turnerview,1,Taiwan,2016-04-21 20:29:35,0
46.77,32,31090,136.4,Multi-tiered maximized archive,Reneechester,1,Serbia,2016-03-23 06:00:15,1
62.42,38,74450,143.9,Diverse executive groupware,West Tinashire,0,Saint Pierre and Miquelon,2016-07-19 07:59:18,1
78.32,28,49310,239.5,Synergized cohesive array,Jamesfurt,0,Australia,2016-06-26 11:52:18,1
37.32,50,56740,199.3,Versatile dedicated software,New Nancy,1,Chad,2016-03-30 23:40:52,1
40.42,45,40180,133.9,Stand-alone reciprocal synergy,Lisamouth,1,Norway,2016-03-16 07:59:37,1
76.77,36,58350,123.5,Universal even-keeled analyzer,Harveyport,0,Turks and Caicos Islands,2016-05-04 00:01:33,1
65.65,30,72210,158.1,Up-sized tertiary contingency,Ramosstad,0,Finland,2016-07-02 21:22:23,0
74.32,33,62060,128.2,Monitored real-time superstructure,North Kevinside,0,South Africa,2016-05-23 21:14:38,1
73.27,32,67110,234.8,Streamlined analyzing initiative,Haleview,1,Martinique,2016-01-29 20:16:54,0
80.03,44,24030,150.8,Automated static concept,Christinetown,0,Afghanistan,2016-07-23 14:47:23,1
53.68,47,56180,115.3,Operative stable moderator,New Michael,1,Micronesia,2016-02-16 09:11:27,1
85.84,32,62200,192.8,Up-sized 6thgeneration moratorium,Jonesland,1,French Southern Territories,2016-06-09 21:43:05,0
85.03,30,60370,204.5,Expanded clear-thinking core,North Shannon,0,Philippines,2016-06-19 09:24:35,0
70.44,24,65280,178.8,Polarized attitude-oriented superstructure,New Sonialand,1,Algeria,2016-06-06 21:26:51,0
81.22,53,34310,223.1,Networked coherent interface,Port Jason,1,San Marino,2016-01-07 13:25:21,0
39.96,45,59610,146.1,Enhanced homogeneous moderator,East Barbara,1,Guernsey,2016-04-15 06:08:35,1
